Starting 1M iteration soak test... 
Starting differential fuzzer (1000000 iterations)...
Processed 1000 iterations... (0 mismatches)
Processed 2000 iterations... (0 mismatches)
Processed 3000 iterations... (0 mismatches)
Processed 4000 iterations... (0 mismatches)
Processed 5000 iterations... (0 mismatches)
Processed 6000 iterations... (0 mismatches)
Processed 7000 iterations... (0 mismatches)
Processed 8000 iterations... (0 mismatches)
Processed 9000 iterations... (0 mismatches)
Processed 10000 iterations... (0 mismatches)
Processed 11000 iterations... (0 mismatches)
Processed 12000 iterations... (0 mismatches)
Processed 13000 iterations... (0 mismatches)
Processed 14000 iterations... (0 mismatches)
Processed 15000 iterations... (0 mismatches)
Processed 16000 iterations... (0 mismatches)
Processed 17000 iterations... (0 mismatches)
Processed 18000 iterations... (0 mismatches)
Processed 19000 iterations... (0 mismatches)
Processed 20000 iterations... (0 mismatches)
Processed 21000 iterations... (0 mismatches)
Processed 22000 iterations... (0 mismatches)
Processed 23000 iterations... (0 mismatches)
Processed 24000 iterations... (0 mismatches)
Processed 25000 iterations... (0 mismatches)
Processed 26000 iterations... (0 mismatches)
Processed 27000 iterations... (0 mismatches)
Processed 28000 iterations... (0 mismatches)
Processed 29000 iterations... (0 mismatches)
Processed 30000 iterations... (0 mismatches)
Processed 31000 iterations... (0 mismatches)
Processed 32000 iterations... (0 mismatches)
Processed 33000 iterations... (0 mismatches)
Processed 34000 iterations... (0 mismatches)
Processed 35000 iterations... (0 mismatches)
Processed 36000 iterations... (0 mismatches)
Processed 37000 iterations... (0 mismatches)
Processed 38000 iterations... (0 mismatches)
Processed 39000 iterations... (0 mismatches)
Processed 40000 iterations... (0 mismatches)
Processed 41000 iterations... (0 mismatches)
Processed 42000 iterations... (0 mismatches)
Processed 43000 iterations... (0 mismatches)
Processed 44000 iterations... (0 mismatches)
Processed 45000 iterations... (0 mismatches)
Processed 46000 iterations... (0 mismatches)
Processed 47000 iterations... (0 mismatches)
Processed 48000 iterations... (0 mismatches)
Processed 49000 iterations... (0 mismatches)
Processed 50000 iterations... (0 mismatches)
Processed 51000 iterations... (0 mismatches)
Processed 52000 iterations... (0 mismatches)
Processed 53000 iterations... (0 mismatches)
Processed 54000 iterations... (0 mismatches)
Processed 55000 iterations... (0 mismatches)
Processed 56000 iterations... (0 mismatches)
Processed 57000 iterations... (0 mismatches)
Processed 58000 iterations... (0 mismatches)
Processed 59000 iterations... (0 mismatches)
Processed 60000 iterations... (0 mismatches)
Processed 61000 iterations... (0 mismatches)
Processed 62000 iterations... (0 mismatches)
Processed 63000 iterations... (0 mismatches)
Processed 64000 iterations... (0 mismatches)
Processed 65000 iterations... (0 mismatches)
Processed 66000 iterations... (0 mismatches)
Processed 67000 iterations... (0 mismatches)
Processed 68000 iterations... (0 mismatches)
Processed 69000 iterations... (0 mismatches)
Processed 70000 iterations... (0 mismatches)
Processed 71000 iterations... (0 mismatches)
Processed 72000 iterations... (0 mismatches)
Processed 73000 iterations... (0 mismatches)
Processed 74000 iterations... (0 mismatches)
Processed 75000 iterations... (0 mismatches)
Processed 76000 iterations... (0 mismatches)
Processed 77000 iterations... (0 mismatches)
Processed 78000 iterations... (0 mismatches)
Processed 79000 iterations... (0 mismatches)
Processed 80000 iterations... (0 mismatches)
Processed 81000 iterations... (0 mismatches)
Processed 82000 iterations... (0 mismatches)
Processed 83000 iterations... (0 mismatches)
Processed 84000 iterations... (0 mismatches)
Processed 85000 iterations... (0 mismatches)
Processed 86000 iterations... (0 mismatches)
Processed 87000 iterations... (0 mismatches)
Processed 88000 iterations... (0 mismatches)
Processed 89000 iterations... (0 mismatches)
Processed 90000 iterations... (0 mismatches)
Processed 91000 iterations... (0 mismatches)
Processed 92000 iterations... (0 mismatches)
Processed 93000 iterations... (0 mismatches)
Processed 94000 iterations... (0 mismatches)
Processed 95000 iterations... (0 mismatches)
Processed 96000 iterations... (0 mismatches)
Processed 97000 iterations... (0 mismatches)
Processed 98000 iterations... (0 mismatches)
Processed 99000 iterations... (0 mismatches)
Processed 100000 iterations... (0 mismatches)
Processed 101000 iterations... (0 mismatches)
Processed 102000 iterations... (0 mismatches)
Processed 103000 iterations... (0 mismatches)
Processed 104000 iterations... (0 mismatches)
Processed 105000 iterations... (0 mismatches)
